time,ua,ub,uc,ia,ib,ic,P,S,PF,F,Pa,Pb,Pc,Sa,Sb,Sc,PFa,PFb,PFc
14:59.,229.59,237.49,236.83,0.81,1.992,5.184,422,1886,0.726,32.003,134,186,473,1227,1672,1116,0.886,0.003,49.98
15:00.,229.52,237.53,236.8,0.798,1.998,5.208,422,1888,0.729,31.747,133,183,473,1232,1674,1119,0.886,0.003,49.98
15:00.,229.46,237.49,236.89,0.804,1.992,5.214,422,1891,0.728,31.747,133,183,473,1235,1675,1120,0.884,0.003,49.98
15:01.,229.57,237.44,236.87,0.804,1.992,5.19,422,1886,0.727,31.747,133,184,472,1230,1673,1118,0.886,0.003,49.97
15:02.,229.48,237.51,236.76,0.804,1.992,5.208,422,1888,0.729,31.747,133,183,473,1232,1674,1119,0.886,0.003,49.97
15:02.,229.48,237.33,236.8,0.81,1.992,5.19,421,1886,0.726,31.747,134,184,472,1230,1673,1118,0.886,0.003,49.97
15:03.,229.43,237.51,236.78,0.81,1.998,5.202,422,1888,0.73,31.747,133,183,473,1232,1675,1120,0.886,0.003,49.97
15:04.,229.63,237.53,236.89,0.81,1.998,5.22,422,1891,0.73,31.747,134,183,472,1236,1678,1122,0.887,0.003,49.97
15:04.,229.63,237.51,236.94,0.804,1.992,5.196,422,1889,0.727,31.747,134,184,473,1232,1676,1120,0.886,0.003,49.97
15:05.,229.79,237.33,236.72,0.852,1.992,5.184,421,1895,0.709,31.747,138,196,472,1227,1677,1118,0.883,0.003,49.97
15:06.,232.45,236.41,235.18,0.828,1.962,5.142,415,1865,0.722,32.771,138,192,464,1209,1660,1107,0.889,0.003,49.97
15:06.,232.54,236.45,235.11,0.804,1.968,5.106,417,1853,0.73,33.027,135,187,465,1201,1656,1104,0.893,0.003,49.97
15:07.,232.29,236.36,235.04,0.786,1.962,5.13,417,1853,0.732,33.027,133,183,464,1206,1656,1106,0.893,0.003,49.97
15:07.,232.38,236.23,235,0.798,1.968,5.13,417,1853,0.73,33.027,134,184,464,1205,1655,1104,0.893,0.003,49.97
15:08.,232.32,236.23,235.07,0.81,1.968,5.106,417,1851,0.726,33.027,137,188,464,1199,1658,1104,0.895,0.003,49.96
15:09.,232.47,236.25,235.02,0.804,1.968,5.136,417,1856,0.73,33.283,135,186,464,1206,1658,1106,0.893,0.003,49.96
15:09.,232.54,236.19,235,0.798,1.962,5.1,415,1847,0.731,33.027,135,186,463,1198,1653,1103,0.896,0.003,49.96
15:10.,232.34,236.01,234.98,0.804,1.956,5.1,415,1847,0.73,33.283,135,187,462,1198,1653,1103,0.896,0.003,49.96
15:11.,232.25,236.01,234.96,0.81,1.962,5.13,414,1855,0.725,33.027,137,188,462,1205,1657,1106,0.893,0.003,49.96
15:11.,232.34,236.01,235.02,0.822,1.962,5.106,415,1852,0.724,33.027,137,190,463,1199,1656,1104,0.893,0.003,49.96
15:12.,232.43,236.12,235.13,0.828,1.962,5.136,415,1862,0.722,33.027,138,192,463,1207,1660,1107,0.891,0.003,49.96
15:13.,232.45,236.25,235.2,0.798,1.962,5.142,415,1858,0.729,33.027,135,186,463,1209,1658,1108,0.893,0.003,49.96
15:13.,232.54,236.3,235.24,0.81,1.968,5.118,415,1854,0.727,32.771,135,187,464,1203,1656,1106,0.893,0.003,49.96
15:14.,232.65,236.21,235.18,0.81,1.962,5.136,415,1859,0.727,33.027,135,187,463,1209,1657,1107,0.893,0.003,49.96
15:14.,232.47,236.23,235.11,0.804,1.962,5.118,415,1852,0.727,32.771,135,187,463,1202,1654,1104,0.893,0.003,49.96
15:15.,231.17,236.5,235.86,0.75,1.98,5.19,419,1863,0.747,32.259,124,166,469,1228,1661,1118,0.889,0.003,49.96
15:16.,229.65,237.09,236.8,0.774,1.986,5.22,421,1890,0.728,32.003,130,183,471,1236,1673,1122,0.884,0.003,49.96
15:16.,229.63,237.18,236.8,0.81,1.986,5.196,421,1891,0.73,31.747,134,186,471,1234,1675,1120,0.886,0.003,49.96
15:17.,229.52,237.2,236.96,0.804,1.986,5.232,421,1892,0.724,31.491,133,183,471,1238,1677,1123,0.884,0.003,49.96
15:18.,229.54,237.22,236.91,0.81,1.992,5.226,422,1896,0.725,32.003,134,186,472,1238,1678,1122,0.885,0.003,49.96
15:18.,229.5,237.31,236.94,0.81,1.992,5.202,422,1890,0.724,32.003,134,186,472,1232,1678,1122,0.888,0.003,49.96
15:19.,229.5,237.4,237,0.81,1.992,5.232,422,1896,0.723,32.003,133,184,473,1239,1678,1123,0.885,0.003,49.96
15:19.,229.7,237.22,237,0.81,1.992,5.208,422,1892,0.724,32.259,134,186,472,1234,1678,1122,0.887,0.003,49.96
15:20.,229.57,237.24,236.96,0.804,1.986,5.202,421,1886,0.726,32.003,134,184,471,1231,1675,1120,0.888,0.003,49.96
15:21.,229.65,237.31,237.07,0.81,1.992,5.232,422,1898,0.725,32.003,134,186,472,1240,1679,1123,0.885,0.003,49.96
15:21.,229.57,237.46,237.13,0.798,1.998,5.208,423,1891,0.727,31.747,133,183,473,1235,1679,1123,0.887,0.003,49.96
