"A相电压","A相电流","总有功功率","A相有功功率","A相视在功率","A相功率因素","工件质量","工件质量1"
"236.72","2.148","813","253","508","0.498","0.426","0.244"
"236.54","2.142","815","253","506","0.499","0.677","0.696"
"236.8","2.148","803","249","508","0.492","0.745","0.749"
"236.78","2.154","818","256","509","0.502","0.256","0.656"
"237.02","2.16","818","258","512","0.505","0.952","0.034"
"236.94","2.148","815","257","509","0.505","0.545","0.203"
"236.85","2.136","803","253","506","0.5","0.753","0.91"
"236.91","2.154","818","257","509","0.506","0.804","0.943"
"236.83","2.172","845","262","513","0.511","0.952","0.986"
"236.76","2.16","832","258","510","0.505","0.49","0.099"
"236.8","2.166","844","261","513","0.509","0.592","0.537"
"236.87","2.166","834","258","513","0.505","0.492","0.388"
"236.89","2.16","830","258","512","0.505","0.685","0.329"
"237.02","2.16","837","261","512","0.511","0.946","0.481"
"236.98","2.16","834","260","510","0.51","0.678","0.416"
"236.94","2.154","833","260","510","0.509","0.551","0.641"
"236.78","2.148","821","258","506","0.504","0.723","0.954"
"236.8","2.148","823","256","508","0.506","0.96","0.846"
"236.74","2.13","805","253","504","0.503","0.634","0.37"
"236.69","2.13","809","254","504","0.506","0.286","0.31"
"236.72","2.13","811","256","504","0.508","0.53","0.443"
"236.74","2.124","801","252","502","0.503","0.791","0.282"
"236.89","2.142","809","256","506","0.506","0.368","0.082"
"237","2.142","809","257","506","0.507","0.463","0.564"
"236.91","2.136","806","256","505","0.507","0.213","0.573"
"236.96","2.13","800","253","505","0.502","0.677","0.172"
"236.98","2.148","809","257","508","0.507","0.743","0.143"
"236.94","2.142","806","254","506","0.505","0.688","0.198"
"236.89","2.148","808","256","508","0.504","0.207","0.562"
"236.94","2.148","816","257","509","0.504","0.974","0.216"
"236.87","2.142","812","256","508","0.504","0.249","0.394"
"236.89","2.142","800","252","506","0.497","0.324","0.321"
"236.85","2.142","805","252","506","0.498","0.873","0.425"
"236.83","2.148","814","254","508","0.501","0.39","0.161"
"236.98","2.142","799","250","508","0.495","0.333","0.528"
"236.85","2.148","814","254","508","0.5","0.494","0.159"
"236.96","2.154","816","256","509","0.501","0.473","0.21"
"237.07","2.16","819","257","512","0.502","0.88","0.575"
"236.91","2.148","814","254","509","0.502","0.982","0.243"
"237.02","2.154","814","256","510","0.501","0.268","0.49"
"236.89","2.136","796","250","505","0.497","0.396","0.719"
"236.76","2.142","809","253","506","0.501","0.175","0.128"
"236.74","2.136","806","253","505","0.5","0.688","0.484"
"236.76","2.136","805","253","505","0.5","0.916","0.036"
"236.89","2.154","817","257","510","0.504","0.515","0.725"
"236.85","2.16","818","257","510","0.505","0.827","0.52"
"236.87","2.16","820","257","512","0.503","0.591","0.424"
"236.91","2.172","820","258","513","0.502","0.471","0.56"
"236.96","2.16","805","253","510","0.497","0.585","0.53"
"236.67","2.154","818","254","510","0.495","0.51","0.969"
"236.78","2.16","822","254","512","0.496","0.797","0.254"
"236.76","2.172","823","254","514","0.495","0.455","0.363"
"236.83","2.172","821","254","514","0.496","0.885","0.054"
"236.89","2.172","814","253","513","0.492","0.059","0.18"
"236.91","2.172","820","254","514","0.495","0.64","0.74"
"236.91","2.16","808","250","512","0.49","0.023","0.159"
"236.98","2.166","819","256","513","0.498","0.196","0.574"
"236.94","2.154","807","252","510","0.493","0.91","0.394"
"236.94","2.148","802","250","509","0.492","0.963","0.249"
"236.89","2.142","804","252","508","0.498","0.086","0.061"
"237.02","2.148","799","250","509","0.493","0.541","0.56"
"236.94","2.148","803","252","508","0.495","0.445","0.616"
"236.83","2.142","799","250","508","0.494","0.605","0.4"
"237","2.154","799","250","509","0.493","0.688","0.15"
"236.96","2.148","798","250","509","0.491","0.625","0.552"
"236.98","2.148","797","250","509","0.492","0.062","0.31"
"237.05","2.154","798","250","510","0.491","0.436","0.894"
"236.96","2.154","798","249","509","0.49","0.992","0.541"
"236.8","2.154","807","250","510","0.493","0.653","0.02"
"236.74","2.148","803","249","508","0.491","0.288","0.479"
"236.89","2.148","800","248","509","0.488","0.483","0.333"
